Symbol,Pt1,Pt2,Pt4,Pt5,Pt6,Pt7,Pt8,Pt9,Pt10,Pt12,Pt13,Pt14,Pt15,Pt19,Pt20,Pt22,Pt23,Pt25,Pt27A,Pt27B,Pt28,Pt29
AGRP,0,1,36,2,0,2,0,0,10,0,1,3,0,1,1,1,7,4,0,1,1,16
AGSK1,209.07,72.34,756.76,170.16,207.82,85.6,41.47,64.06,158.71,121.54,100.68,273.29,9.6,61.06,28.05,121.43,30.37,9.53,310.16,350.16,783.12,288.29
AGT,44,13685,30,11,362,36,2762,68,639,287,108,51,92,71,67,74,26,126,27,4,199,61
AGTPBP1,1186,450,927,770,985,1673,356,1221,2060,957,1122,1726,606,175,751,1116,1255,484,2100,1868,343,1452
AGTR1,156,575,6,12,12,9,19,108,115,26,29,127,25,17,7,276,62,89,59,15,26,25
AGTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,159
AGTRAP,2892,973,1094,3006,1428,1658,970,2203,1839,2673,2540,2881,1709,1513,1409,1188,1169,2478,1943,1477,1307,876
AGXT,0,14487,16,0,0,0,1,33,0,1,0,1,0,0,0,4,0,11,0,0,164,0
AGXT2,0,2185,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,26,0
AGXT2L1,0,790,52,0,517,13,60,389,18,0,2,1,98,63,144,52,24,1,0,0,9,2
AGXT2L2,1213,1087,371,460,335,295,474,920,763,280,1198,564,394,233,582,914,542,269,494,386,417,489
AHCTF1,5979,2317,4038,5099,3927,2535,1404,3606,8885,4778,3752,9461,2421,591,2238,3342,6506,1396,3748,4251,1551,2877
AHCTF1P1,754,255,587,646,548,215,112,340,1127,566,417,1011,143,57,187,428,464,72,428,498,138,308
AHCY,7145,10418,13444,14449,6635,7502,3088,6522,18683,2437,3501,14119,14739,10693,4731,5711,6084,12698,7885,7015,4720,12373
AHCYL1,11887,2874,4161,8938,19994,4456,2133,5035,7640,5300,8068,7687,5935,1695,3009,7033,4273,2064,5726,5615,3438,6824
AHCYL2,2145,756,6718,2162,3073,820,997,2332,2566,3999,3016,1403,1037,470,9872,1935,3591,1580,3022,4792,750,2522
AHDC1,2027,268,838,1613,1832,514,250,800,1515,2441,1847,945,233,996,319,1711,669,502,1154,902,590,491
AHI1,1097,544,190,606,775,607,485,1762,1833,1565,1479,2786,711,91,404,508,496,155,1235,1480,245,723
AHNAK,92158,9923,14090,68707,44932,28197,4861,25305,58659,69231.99,61420,125412,11705,4508,18049,48851,18621,5471,121012,143955,49918,16945
AHNAK2,27433,3102,1315,1298,35418,8086,2127,881,12818,5501,3146,11321,1247,4193,4075,885,2915,260,29630,48886,9982,312
AHR,9382,2142,3219,2292,2462,5796,3498,17635,24005,6079,30826,6587,3771,752,1644,6361,2455,292,5870,6054,2223,4096
AHRR,155,27,144,217,132,159,111,144,487,10,994,116,452,123,22,35,150,117,32,36,78,187
AHSA1,7459,3011,9876,7926,12163,2845,1564,3928,9318,3307,4827,7929,2602,2253,2562,4272,2209,3752,3638,2772,2468,1812
AHSA2,1008,561,620,171,1280,1105,646,3499,1368,531,899,1510,1056,313,659,1166,1187,221,556,1142,340,1374
AHSG,0,37728,5,0,0,2,0,72,0,0,1,0,0,0,1,11,2,2,0,0,485,2
AHSP,4,0,3,0,8,0,2,13,0,0,2,0,1,0,1,1,14,2,0,0,0,0
AICDA,3,1,4,0,0,1,2,10,2,3,1,1,1,0,2,4,4,0,1,0,0,1
AIDA,8752,4910,3968,6105,4491,4442,1319,5061,8859,7473,4988,6841,4113,1421,3361,5225,3614,2724,6777,5890,1442,3355
AIF1,1702,1271,1109,183,1734,390,466,2042,534,659,4822,2164,1889,305,2901,4399,3032,1963,3039,1541,438,3040
AIF1L,3790,10639,7211,4398,708,607,1316,795,8876,1811,10943,227,1457,1393,6212,9024,2659,4034,5650,6784,606,6617
AIFM1,3211,2261,3379,5391,9603,2617,1059,4049,2651,1301,1748,4973,2228,936,1456,2435,2235,2626,2547,1980,1348,3493
AIFM2,1889,823,1878,2214,1794,1992,775,1985,1138,1116,653,1348,705,1251,872,963,1177,482,611,470,125,530
AIFM3,38,63,63,3,30,33,19,101,81,80,43,18,175,84,27,42,79,48,5,5,18,81
AIG1,630,2068,989,385,1958,558,194,1509,459,98,1177,2079,291,237,275,658,430,241,690,616,813,613
AIM1,1807,465,245,113,318,1656,137,2668,1771,3040,1026,16078,253,87,853,1679,746,215,800,408,6691,624
AIM1L,14,4,3,0,0,9,3,63,5,0,1,3,7,5,11,7,16,3,1,4,1637,19
AIM2,473,82,36,25,267,50,66,990,14263,1761,431,1782,417,13,341,412,1650,101,205,103,41,195
AIMP1,2886,1679.47,1697.27,2680.96,2352.18,1839.08,1579.77,3764.47,2996,2522.38,2405.8,4641.87,3044,595,1546.41,1887.17,2536.54,922.55,2723.68,2745.48,1661.33,2750
AIMP2,1240.39,769.43,2030.16,1210.89,1252.19,2596.67,798.52,2276.81,3305.79,753.16,864.01,1883.05,1533.48,1050.87,489.85,818.01,1321.59,1589.42,1130.9,924.27,1013.42,2147.35
AIP,4143,1249,4117,5403,2582,2379,656,2329,2604,1785,3446,4002,2276,3868,1473,3172,1392,3682,1844,1593,610,1750
AIPL1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
AIRE,0,0,0,1,0,0,1,0,18,0,3,0,3,0,0,1,0,3,0,0,6,1
AIRN,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,5,2,0,0
AJAP1,61,0,0,2,10,1375,7,21,20,3,6,110,8,2,10,57,17,10,9,0,51,518
AJUBA,415,506,492,480,430,149,57,162,372,507,242,2180,847,173,131,385,278,319,580,369,1600,746
AK1,974,508,1809,1142,1745,2200,502,1572,2375,616,1741,1743,1221,1852,881,1339,1447,1809,687,462,2025,2290
AK2,14696,5227,6234,19455,10396,5805,3639,10240,10794,6912,10641,13411,17578,5447,5670,7607,8400,7755,17300,14355,5896,9026
AK3,3202,5158,3416,1902,3957,3671,1706,3999,3062,455,1596,12583,2672,939,1313,2993,2069,155,4655,3692,2423,2488
AK4,2960,2157,233,78,1219,924,297,1017,3854,93,2782,8332,2642,290,1604,454,1628,502,2760,1319,2351,518
AK5,100,21,131,359,540,105,12,21,67,37,263,64,175,21,42,35,559,51,64,26,19,147
AK7,19,37,40,3,64,13,12,121,177,9,94,8,8,1,14,27,11,13,6,4,13,82
AK8,14,4,24,18,8,22,9,94,192,5,50,17,23,5,4,26,7,34,24,12,5,18
AKAP1,5949,2784,3940,6025,3310,1737,915,2158,1864,1460,1594,4115,1307,647,767,1638,1327,648,2726,2961,988,2673
AKAP10,1231,519,666,1200,1822,859,322,2050,2073,989,1668,1517,1081,285,540,1536,1093,309,733,732,600,1079
AKAP11,2883,1612,2363,2746,7881,2056,1347,3314,5020,2184,4292,7398,1759,370,2286,2696,1820,911,3772,4967,1087,3738
AKAP12,5531,6157,13705,1666,506,10382,7183,4971,9057,7679,3421,48577,3420,2277,5842,9852,2270,812,26890,24329,178,5894
AKAP13,17854,3407,5517,12466,22809,3778,1848,6053,7781,10722,8094,7448,1336,823,2730,9430,4459,1700,7169,6945,2036,4437
AKAP14,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,4
AKAP17A,4980,2364,2889,4691,6246,3308,1357,2848,6224,2990,2333,7749,2554,3241,2920,4000,2330,1521,2744,3312,3229,3241
AKAP2,7519.6,1886.51,5040.01,3361.03,7807.28,4121.17,2495.73,4224.33,6175.12,4212.89,7136.41,35917.27,1746.05,262.39,1478.98,7922.4,5789.83,1527.97,5798.15,4539.95,766.24,3574.52
AKAP3,67,10,8,20,285,4,59,40,50,320,31,11,27,6,9,20,19,1,15,20,13,103
AKAP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AKAP5,107,73,87,5,50,32,32,129,33,326,528,159,159,30,811,364,284,91,262,186,20,416
AKAP6,313,304,10068,2333,818,95,3897,1317,2875,948,15107,145,161,97,130,2865,989,46,205,68,115,4154
AKAP7,274,433,193,234,376,135,233,668,742,94,322,440,379,167,325,370,326,166,639,487,68,678
AKAP8,2468,795,1795,2311,1995,1387,872,1639,2171,1712,1753,3086,1215,622,1078,2070,1303,795,2018,1841,1126,1507
AKAP8L,3455,893,1900,2440,2002,1948,830,2185,2940,2505,2105,2884,1175,1138,1164,1680,1232,1552,1644,1607,1077,1771
AKAP9,7288,7743,2004,1930,11238,2363,1829,7192,8177,8670,4364,3519,3715,686,4193,4642,2707,327,7884,8856,1381,6324
AKD1,360,106,276,221,243,331,47,329,584,381,236,740,133,46,51,132,66,45,423,477,111,237
AKIP1,726,449,911,1386,2482,1057,440,1447,943,779,1673,1903,535,387,373,1323,701,436,829,518,901,500
AKIRIN1,5754,1721,2072,3525,3576,2271,2068,5493,3833,4026,4269,7207,5332,1066,2053,2954,3082,1089,2652,2784,1458,2192
AKIRIN2,2572,1046,1171,1454,1756,1845,522,1701,1683,1002,2035,4805,954,457,876,1498,1487,679,2521,2239,1442,994
AKNA,2284,845,2261,1345,962,1071,527,1181,841,360,2312,1490,588,985,2759,3934,1580,1128,2197,1392,605,2596
AKNAD1,22,2,2,35,38,2,3,12,9,19,14,31,3,2,3,7,0,0,1,5,17,0
AKR1A1,3456,4742,3317,3309,5128,3345,1378,3767,2891,3342,4757,4899,2948,3917,3665,4805,3481,2333,3192,2758,2138,3254
AKR1B1,3236,2065,7427,3128,8947,1581,2027,3906,2528,604,2512,8268,5229,4343,2381,3823,8459,4414,4667,3356,532,1125
AKR1B10,33,54,0,0,4,1,8,0,9,4,2,12,2,2,0,3,0,0,2,0,3302.9,1
AKR1B15,4,0,0,0,0,0,0,0,1,1,0,0,2,2,0,4,0,0,0,1,361.1,0
AKR1C1,180.16,2514.14,78.4,5,7.05,159.47,78.76,1269.1,331.75,20.74,18.79,286.46,51.49,24.08,27.51,358.29,13.17,32.12,197.39,106.14,281.93,251.6
AKR1C2,226.66,807.87,217.76,4.07,40.55,40.53,93.24,519.76,25.91,37.87,11.21,259.52,68,27.08,39.71,471.17,12.97,29.07,261.37,62.44,476.6,71.55
AKR1C3,526.18,776.99,163.84,53.93,144.41,44,89,497.14,205.34,91.39,107,515.02,103.51,46.84,36.77,658.53,111.86,99.81,487.24,676.42,170.47,153.85
AKR1C4,0,2151,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,25,0
AKR1C6P,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
AKR1CL1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
AKR1D1,0,2274,0,2,10,0,1,6,0,0,0,0,33,0,0,0,0,0,0,1,35,0
AKR1E2,61,43,2,48,97,165,10,305,170,279,73,251,23,102,29,73,43,39,20,5,16,103
AKR7A2,3332,1155,1337,2208,2562,1868,769,2800,1934,2501,1880,2859,2024,1620,843,1588,1346,1645,1508,1264,1133,1121
AKR7A2P1,1,2,3,0,7,3,0,2,6,8,2,8,2,2,0,3,9,0,5,10,2,9
AKR7A3,25,1671.51,21,4,4,37.75,22,32,95.5,60,9,20.62,96,2,20,10,147.84,26,17,14,59.93,73.92
AKR7L,24,117.49,1,3,3,12.25,17,21,73.5,40,10,21.38,26,6,4,13,31.16,17,18,17,9.07,5.08
AKT1,6879,4368,6980,11796,21619,4674,2388,7016,6215,3610,9452,9728,3689,9966,3831,8706,5097,3886,7514,5798,3193,6791
AKT1S1,3139,1090,1642,2878,1600,1733,1354,2742,5783,2768,2472,5610,1675,3557,945,2013,938,2388,2223,1670,2068,1253
AKT2,6258,3417,5014,7157,5339,4852,2279,6582,6145,5310,5669,7347,2967,7324,3044,5560,2990,3381,7842,7534,3350,3844
AKT3,21468.34,7530.3,10972.41,14507.45,5176.38,5646.11,1557.04,5213.48,9632.54,6687.46,5941.6,2950.69,1665.46,1815.95,3772.41,7372.26,5293.68,1941.59,9696.93,11065.9,438.75,3531.29
AKTIP,1339.1,709.03,621.3,990.4,1312.96,1781.2,270.75,1908.68,485.67,825.9,1156.11,1658.63,1124.24,208.84,588.33,999.3,655.56,193.41,866.63,794.65,1081.64,608.85
ALAD,2387,4230,2698,2274,2135,2138,968,2143,3183,1970,4936,3327,1372,706,1652,3878,2267,1278,2937,2676,1009,1722
ALAS1,4703,1898,2643,4832,4418,2758,1299,3174,5266,3679,2517,5146,1723,2096,1502,2364,2760,1648,1886,1481,3098,2172
ALAS2,44,2,19,4,113,1,13,20,12,7,1,3,1,0,4,6,152,2,1,1,5,0
ALB,4,1540377,0,0,0,65,2,1860,1,66,2,3,1,0,87,129,5,0,0,0,19002,72
ALCAM,1822,947,1607,118,2493,607,918,2492,4242,677,2600,10524,691,390,992,1668,2280,43,1306,1330,306,1879
ALDH16A1,1114,683,970,1590,1026,1299,606,1742,1306,1034,1638,2080,1309,4129,896,1584,848,2259,1290,769,2049,1231
ALDH18A1,5597,3442,6124,9453,7684,2043,1164,2784,7152,4989,3458,14504,4742,2252,2362,5189,4375,2620,5276,4399,1963,3072
ALDH1A1,6682,6394,26792,953,1039,280,4837,2515,882,658,3597,1533,979,1120,9640,18511,4630,1400,571,166,285,1447
ALDH1A2,65,112,25,61,75,36,43,46,1200,30,44,152,83,33,23,92,22,75,18,2,20,1835
ALDH1A3,7466,410,6037,116,965,4101,636,91836,7133,115081,13798,11487,1604,3125,522,4382,354,67,1298,781,2616,6747
ALDH1B1,2078,3450,1780,74,3515,165,1148,875,1482,910,1270,3059,1127,734,1622,3951,1621,872,3901,2486,180,8759
ALDH1L1,18,2840,65,18,265,128,90,131,2,0,0,134,3,24,84,342,9,2,82,5,34,3
ALDH1L1-AS1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDH1L1-AS2,0,11,3,0,5,0,0,6,0,0,0,8,0,0,0,8,0,0,2,0,0,0
ALDH1L2,1758,215,178,68,560,221,104,565,3321,982,792,1765,637,242,2601,2967,1574,488,546,299,63,1390
ALDH2,1563,25246,491,171,1174,218,1863,2188,240,389,2183,1659,826,338,1499,5516,3673,614,1865,860,9944,1559
ALDH3A1,1,20,27,11,8,14,32,32,20,0,16,3,0,46,7,16,9,0,3,0,1797,1
ALDH3A2,3109,5014,1382,3504,2524,2361,820,3526,2801,1464,3265,1870,1372,886,1542,2312,1730,779,2802,2843,2979,2259
ALDH3B1,846,318,483,1046,1683,213,220,561,863,354,965,1115,259.16,850.53,540,1058,795,1016,643,490,71.03,540
ALDH3B2,33,0,38,369,1296,0,33,290,2,320,0,0,753.84,438.47,12,165,3,5,4,2,12536.97,25
ALDH4A1,951,5840,3264,1040,2342,1139,470,2710,544,2967,989,677,1463,1357,208,3989,739,579,1000,815,2751,745
ALDH5A1,570,2058,1581,7,2429,455,72,1277,953,92,417,75,508,433,382,797,1293,470,118,32,1387,1060
ALDH6A1,658.29,3866.57,715.82,833.45,2189.25,99,91,639.88,467.59,202.61,744.48,495.46,310,135,198,713.47,121.06,97.64,1058.93,1203.34,141.01,407.79
ALDH7A1,1904,2956,3161,2058,2342,2706,976,8023,4611,1227,2549,3105,2355,924,1484,3912,1258,3044,2293,2184,4883,490
ALDH8A1,37,2853,1,1,8,16,31,57,14,3,17,37,9,1,11,25,7,6,6,8,65,15
ALDH9A1,4360,6183,6654,6974,9926,2926,1745,6658,3356,3847,6773,4544,3565,2305,6017,8168,6436,4724,4954,4705,3843,2971
ALDOA,43433,19138,33129,42938,46953,39228,31620,52932,80215,23700,40672,72572,16142,59221,13320,26757,29315,40269,63054,55402,29944,16557
ALDOB,10,67692,6,1,16,3,16,82,13,7,20,0,8,1,4,28,1,0,2,3,857,10
ALDOC,1785,323,914,11,50,997,1019,1702,2033,993,2793,2036,387,1233,373,876,497,368,1090,1098,566,732
ALG1,2126.61,1147.77,2080.59,2421.21,1845.65,1135.91,1246.59,3262.22,2561.54,2006.59,1327.98,2493.31,1689.86,1086.07,867.31,1586.26,1175.54,1969.84,1359.03,1107.97,940.61,1169.35
ALG10,237.89,161.9,140.63,308.23,219.79,224.27,54,225.4,224.35,234.45,149.06,865.89,130.45,79,133,197.06,76,75,408.47,464.6,97.37,242.49
ALG10B,932.11,559.1,582.37,825.77,623.21,662.73,302,931.6,1038.65,906.55,712.94,1434.11,705.55,147,391,500.94,335,320,1612.53,2383.4,215.63,1150.51
ALG11,806.97,584.55,1055.23,1661.83,2266.45,352.16,350.3,692.96,651.1,524.86,664.51,575.4,413.51,109.83,450.03,892.35,315.92,112.74,940.34,1074.43,197.28,828.4
ALG12,1515,724,1499,1424,1076,847,310,820,3918,827,1211,1195,898,1308,500,997,396,1486,1194,1249,581,1393
ALG13,1633,981,899,1759,2382,790,559,2649,1466,848,1218,2705,1538,251,1105,1309,1178,542,1396,1546,636,1221
ALG14,823,296,344,1283,1083,283,277,834,795,795,484,891,862,410,528,664,626,369,376,332,283,615
ALG1L,0,2.34,25.81,6.46,0,13.43,21.03,49.96,2.26,1.37,8.39,2.47,73.61,16.56,2.57,10.2,1.25,13.56,14.14,8.36,134.58,12.4
ALG1L2,3,0,4,2.06,1,0,2,0,0,0,0,0,0,0,1,4,6,0,0,0,1,1.07
ALG1L9P,10,0,22,24,9,2,8,11,17,2,13,2,5,9,5,5,4,6,13,21,3,7
ALG2,1602,1170,1709,1651,2686,1507,697,1406,4380,944,1500,3385,1297,465,1343,1781,1429,1347,1878,2043,1158,3215
ALG3,2564,914,3326,5503,3089,1454,962,2157,3848,1183,1297,5725,2429,5602,1045,1537,1077,3804,2035,1780,1035,1714
ALG5,2918,1758,2072,3844,3746,1218,1531,3789,1918,1122,1927,1566,2596,352,2242,2381,1060,1719,2823,2733,896,1834
ALG6,1256,626,601,1953,526,681,482,1048,1690,1382,1229,1352,1271,403,624,935,652,778,1161,1057,585,942
ALG8,1836,1273,1927,2835,2595,719,600,2350,2082,1569,1461,4153,2715,823,740,1630,2175,7576,1978,1553,629,1668
ALG9,936,579,1717,1036,2403,601,462,1091,1078,492,938,2415,434,369,465,1229,716,894,1508,1595,538,622
ALK,625,577,100,1176,161,15,90,71,397,34,194,34,79,251,75,102,243,184,43,151,6,235
ALKBH1,656,302,599,884,1049,208,137,709,524,528,486,627,386,113,275,500,250,219,475,553,218,165
ALKBH2,710,912,1000,1136,404,262,400,757,691,640,533,1148,652,568,337,629,642,964,810,865,512,678
ALKBH3,1279,263,1132,1637,1070,1257,534,1166,670,537,571,1245,771,167,429,825,327,367,1455,1362,596,292
ALKBH4,779.7,313.87,844.35,476.43,897.22,410.51,443.44,799.8,466.07,798.98,682.88,541.86,539.2,501.47,374.93,616.21,670.05,667.59,480.36,390.11,286.28,495.87
ALKBH5,3363,1218,2450,3550,4063,2625,1794,3560,5542,2932,5454,6304,2247,4157,1888,4029,2904,2135,3221,2537,1839,2431
ALKBH6,440,181,376,583,310,328,116,371,597,350,445,485,262,696,184,305,287,251,320,268,250,226
ALKBH7,1227,2408,1984,2464,1967,1702,803,2310,1742,1090,1111,2370,2508,2653,1660,2130,1200,3069,1414,1390,778,2348
ALKBH8,835,281,195,535,612,168,257,817,1625,684,641,1849,373,71,367,555,605,163,803,886,274,562
ALLC,0,3,3,1,0,2,0,0,4,0,1,4,2,0,0,0,0,6,0,1,0,0
ALMS1,1770,738,873,1331,1021,1016,201,753,1645,817,1017,1891,366,182,578,956,1192,611,2070,1842,260,884
ALMS1P,5,22,4,1,63,8,0,2,1,0,16,4,21,4,12,6,37,5,9,5,1,4
ALOX12,6,3,19,4,13,3,2,23,4,4,7,5,2,3,4,13,13,0,6,7,285,9
ALOX12B,0,1,0,4,2,5,0,0,18,0,3,0,1,2,2,3,2,1,0,0,7427,4
ALOX12P2,2,4,0,0,0,0,1,34,32,1,3,1,1,0,4,2,1,1,2,3,27,2
ALOX15,4,9,22,0,16,1,1,3,33,6,18,1,1,0,1,30,2,3,0,5,48,2
ALOX15B,128,30,22,113,20,13,7,84,55,4,53,55,18,165,55,118,492,8,22,2,2792,71
ALOX15P1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,2,0,0,0
ALOX5,1300,464,300,97,626,171,181,565,615,332,2311,982,274,165,573,1310,1134,106,1350,896,272,485
ALOX5AP,768,421,291,65,1526,261,118,558,1928,165,3020,994,182,160,1211,959,1759,184,1850,1434,267,520
ALOXE3,5,0,0,7,0,1,34,0,13,4,3,4,0,1,0,0,3,2,2,1,2216,2
ALPI,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPK1,1335,581,548,622,1174,289,633,1472,872,727,1731,676,264,156,740,842,642,150,1389,1268,556,889
ALPK2,468,116,5,13,38,3,31,45,315,54,148,371,33,10,15,418,216,7,77,17,43,4
ALPK3,301,120,163,1648,357,67,73,128,300,131,314,421,83,459,33,936,564,28,215,202,63,375
ALPL,1549,1081,607,82,1104,30,480,1963,1739,301,2560,757,68,836,107,2748,830,468,743,89,328,563
ALPP,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
ALPPL2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALS2,3694,1716,2119,2621,2607,2538,625,1640,4246,3196,1855,1934,1063,482,746,1450,972,601,1979,2031,559,932
ALS2CL,203,126,102,13,289,210,37,296,261,26,87,105,363,102,218,223,377,154,39,10,3265,480
ALS2CR11,28,3,4,1,133,218,49,157,556,84,245,348,87,16,3,62,15,2,3,11,7,24
ALS2CR12,124,33,36,22,60,73,16,40,104,23,12,16,31,2,13,30,5,11,81,126,3,78
ALS2CR8,311,243,239,155,345,233,73,381,925,254,351,312,233,18,159,262,116,66,453,617,110,281
ALX1,3,0,562,1555,1011,466,256,1614,961,2489,798,2,218,269,503,644,599,399,535,653,1,294
ALX3,100,23,284,45,101,46,34,59,46,72,119,67,18,39,38,69,34,16,49,55,22,66
ALX4,57,0,15,3,10,1,7,28,120,6,10,7,2,4,6,114,24,37,10,7,4,3
ALYREF,1992,982,2569,1533,998,1571,1251,1807,3765,2117,1401,5812,1231,1570,1369,1665,1706,1835,2462,1463,2177,1178
AMACR,1466,7569.81,959.53,1146.27,1408.16,1273.81,322.96,4587.14,1865.93,657.82,1113.24,1185,1581,366.96,545,1285.08,1142.99,565.44,1245.94,1086.56,429,666.87
AMBN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
AMBP,0,68426,5,0,0,1,1,122,0,7,0,0,0,0,5,29,3,0,0,0,928,7
AMBRA1,2138,839,2674,5846,3712,3472,850,1772,2155,1224,2127,2250,828,898,791,1974,754,788,4256,4290,931,638
AMD1,6597,9865,3418,10063,7406,3264,1483,5204,6831,4163,11035,11080,1971,1028,4049,4539,2774,1467,10178,8678,5096,4527
AMDHD1,91,2522,13,71,61,286,18,324,83,7,21,17,25,63,18,15,146,3,1,2,85,16
AMDHD2,1174.94,480.57,1526.18,1620.49,2022.89,798.67,532.14,917.69,504.22,518,454.8,868.19,886.77,1073.8,355,1027.03,1088.92,605.18,809.79,670.59,356.47,591
AMELX,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AMELY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMER1,592,423,1249,900,698,224,91,293,969,78,323,517,90,145,213,408,227,253,691,786,169,441
AMER2,0,2,10,0,1,0,0,0,0,0,0,0,0,0,5,1,6,5,0,0,0,0
AMER3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMFR,7543,2603,2765,9895,4297,3270,1571,6491,6508,4972,4126,6815,2377,931,1852,3127,1603,1233,4273,4746,1527,1383
AMH,8,1,105,55,5,6,8,9,69,7,4,35,18,124,3,7,16,4,6,7,17,79
AMHR2,2,3,199,0,0,0,7,3,0,11,0,4,0,2,0,17,1,52,0,0,0,1
AMICA1,898,413,740,47,365,98,66,804,107,199,862,459,391,136,1760,1084,1185,497,545,281,393,1035
AMIGO1,249,77,172,149,159,76,54,181,229,26,312,124,152,154,64,97,41,49,39,29,22,160
AMIGO2,151,568,635,15,3162,1193,23,230,519,32,191,643,1693,39,383,511,187,36,149,88,118,393
AMIGO3,171,41,174,116,124,160,188,110,405,276,107,165,91,299,112,125,115,166,186,236,105,410
AMMECR1,1399,308,552,1690,866,492,370,1093,1631,696,872,742,432,278,350,788,791,246,720,521,2081,559
AMMECR1L,5291,1715,2618,3677,4362,2300,1029,1677,4626,2780,1820,3264,1803,1097,1951,2014,1964,1754,2663,2722,821,1146
AMN,0,769,0,0,2,1,0,4,4,1,1,2,2,3,3,3,5,3,0,1,114,9
AMN1,607,336,376,543,216,339,126,474,373,241,521,573,528,219,288,381,164,156,380,458,187,160
AMOT,304,400,5840,7280,1612,564,161,2681,1172,1171,831,146,258,324,1361,1682,390,1098,1050,1321,126,1046
AMOTL1,13463,1346,3354,6110,7520,6177,841,12027,18471,7770,11874,10759,1219,917,525,6470,2554,8156,16840,14824,3780,2178
AMOTL2,4490,980,2047,3656,1458,302,432,1924,1065,464,1313,7850,2690,1045,1611,3135,750,1540,6755,5449,1433,2253
AMPD1,40,0,5,0,0,0,0,13,2,0,0,0,17,137,23,123,0,4,2,0,2,50
AMPD2,3254,1234,1379,2987,2985,1103,1536,2432,4057,2333,4568,8186,1920,2599,1302,2508,1985,1132,1580,1552,816,1278
AMPD3,457,209,237,115,559,173,88,364,515,220,1325,2256,275,140,441,1050,417,86,691,633,979,616
AMPH,94,13,5,20,1121,9,15,79,78,46,51,102,358,28,5,258,231,16,60,25,12,9
AMT,122.27,622.36,240.72,31.37,33.64,272.92,18.19,448.75,296.92,58.02,437.8,236.81,224.45,53.98,178.53,202.16,179.87,80.27,92.21,188.18,108.41,347.8
AMTN,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,5,0
AMY1A,0,1.02,0,0,0,0,0,1.06,0,1.04,0,0,0,0,7.38,0,0,0,0,0,0,1090.26
AMY1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.47
AMY1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.72
AMY2A,1.07,0,0,0,0,0,0,0,0,2.09,3.2,0,0,0,2.08,0,0,2.09,2.16,2.13,0,1.08
AMY2B,277.93,72.98,54,21,86,284,225,385.94,94,61.86,258.8,314,567,15,447.53,200,375,111.91,363.84,530.87,196,277.47
AMZ1,16,6,7,2,13,2,4,6,36,52,9,5,1,7,9,5,49,1,5,5,2,7
AMZ2,4799,2278,3907,3621.93,2594,2045,2073,3378,4015,989,2733,6394,2080,1032,2271.84,2509,2230,2168,2612,2329,1651,5203
AMZ2P1,639,432,720,505.07,273,387,381,422,253,93,423,593,517,118,438.16,398,307,339,519,682,66,664
ANAPC1,3526.03,1404.02,3066.45,3131.95,3520.73,1735.74,1156.46,2303.54,9597.24,3518.41,1628.59,6770.67,1318.22,766.18,867.48,1925.3,2203.8,1004.07,2973.64,3199.07,1348.31,2039.68
ANAPC10,733,320,186,885,393,317,249,694,412,300,595,775,402,157,342,410,566,194,623,498,319,341
ANAPC11,2460,2757,4149,2453,3473,2353,1874,3529,1967,1623,2918,4829,3160,3634,2184,3113,2454,4825,1737,1312,1708,1450
ANAPC13,2229.17,1023,3231.67,2463.43,2767.03,1559.71,1081.31,3835.74,1796.69,1332.63,2887.06,6069.88,1999.32,1349.99,2021.73,2442.33,2222.93,1606.2,2491.63,2061.94,1233.29,2372.37
