Symbol,Pt1,Pt2,Pt4,Pt5,Pt6,Pt7,Pt8,Pt9,Pt10,Pt12,Pt13,Pt14,Pt15,Pt19,Pt20,Pt22,Pt23,Pt25,Pt27A,Pt27B,Pt28,Pt29
ACOT8,674.72,378.64,916.23,801.84,515.49,985.23,200.5,1249.46,1079.99,933.06,603.53,1432.3,1434.91,621.07,396.24,700.92,520.39,1239.24,276.94,251.8,395.29,774.26
ACOT9,2124,857,1434,2861,3923,3727,597,2618,1425,1494,1686,6272,1431,437,1011,1999,2830,882,1629,1225,587,1568
ACOX1,2683.36,4517.96,1626.16,2216.49,2452.91,1879.64,1773.63,2741.33,2259.24,1323.57,2741.25,2781.67,1132.99,494.1,1484.73,2292.92,1709.41,780.82,2112.25,2111.67,2568.07,1003.65
ACOX2,262,1298,33,15,50,271,17,67,564,27,207,295,15,15,34,207,40,28,32,12,38,100
ACOX3,787,396,427,984,707,344,254,574,624,272,631,1198,335,203,413,531,603,650,737,589,982,481
ACOXL,6,0,8,2,4,3,2,25,4,0,5,1,3,0,35,142,4,0,5,6,5,84
ACP1,4438,3013,4064,3057,4642,2356,1961,3774,3346,2572,2653,6263,3029,2367,2424,3512,4965,2556,3651,3529,2036,2494
ACP2,3000,1142,1876,3230,3328,2443,1038,5144,2320,1884,4350.98,3799,2097.95,1706,1551,3850,1748.94,1564,2496,1801.98,668,1271
ACP5,8837,5374,8922,25586,26337,3838,4364,8665,2490,5138,2338,1274,1925,10077,15428,9807,12179,18161,5499,5120,2512,3408
ACP6,550,891,541,1121,440,427,211,1422,10434,862,1102,986,332,414,208,437,311,208,624,547,232,217
ACPL2,655,174,819,958,702,736,174,895,9914,5117,540,833,605,276,368,558,408,310,536,514,148,598
ACPP,21,14,25,5,47,22,91,197,8097,1640,975,11,7,1,15,86,30,18,48,37,2452,47
ACPT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACR,11,4,0,6,2,3,7,11,7,2,2,3,1,1,7,14,2,24,1,0,3,12
ACRBP,87,58,86,14,94,8,26,51,48,34,143,76,69,32,65,316,66,54,87,58,8,81
ACRC,127,24,24,19,61,122,34,140,151,52,106,258,178,19,62,52,150,39,64,88,52,88
ACRV1,1,0,1,3,7,5,3,18,12,3,2,5,1,0,0,0,3,1,0,1,21,25
ACSBG1,276,31,16,1959,48,7,8,12,29,965,670,10,9,12,9,239,57,8,5,11,91,12
ACSBG2,6,0,0,13,3,2,1,3,0,3,0,1,12,0,1,3,6,0,4,2,1,7
ACSF2,285,833,929,25,545,1891,120,968,503,211,602,392,2908,770,385,628,552,824,211,124,236,845
ACSF3,1121,671,918,2002,737,561,380,1018,1099,414,534,1030,690,953,334,762,480,526,923,704,370,427
ACSL1,6170,17910,2388,6651,6477,8030,1541,3485,4281,1629,3515,7296,3295,1914,1604,5243,6062,888,5290,4048,4818,3078
ACSL3,12938,7380,8511,14660,31409,8746,4103,17390,37380,13839,6798,9315,12313,4146,5838,9868,6379,1126,11751,12134,1759,6641
ACSL4,6246,2606,1922,6727,14709,4379,1639,6595,3721,2769,4767,15770,4029,857,3178,4498,4476,1210,4856,4035,1935,3639
ACSL5,832,2498,273,336,569,91,1077,648,222,182,1543,6930,288,104,1697,1525,776,377,3859,4194,277,1017
ACSL6,47,44,5,2,14,47,46,114,74,47,79,5,81,9,115,58,83,10,16,6,9,33
ACSM1,4,32,1,0,0,0,8,11,1,0,2,0,6,0,2,2,1,1,0,3,5,2
ACSM2A,1,3614.02,0,0,0,1,0,5,0,0,0,1,0,0,0,2,0,0,0,0,35.94,0
ACSM2B,4,4946.98,0,0,0,0,0,7,0,0,1,0,1,0,1,2,0,0,0,0,65.06,0
ACSM3,196.32,1047.91,6,183.56,49.42,4,29.24,309.38,9.33,12.21,26.66,15.89,41.11,4,32.58,80.49,47.62,13.89,21.08,22.18,46.4,167.49
ACSM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSM5,84,1844,35,17,100,4,2,252,6,10,19,84,40,28,48,151,109,13,63,38,25,35
ACSS1,3880,1335,2788,5569,1277,1339,1935,3131,4238,1660,1216,513,2465,1410,2057,3404,1050,506,2827,3118,368,708
ACSS2,2097,992,1815,2491,1427,3286,946,13780,16482,9743,2949,2794,1072,1877,1097,2176,1097,1351,1730,1513,1416,1310
ACSS3,158,538,29,4,2202,12,607,91,3589,688,3132,142,17,25,10,698,38,13,98,32,18,143
ACTA1,3,3,0,1,2,3,0,16,8,2,2,1,367,10521,7,102,3,7,4,1,16,3
ACTA2,24396,1092,5547,4207,3372,711,1647,4976,13709,4252,10254,5811,1460,2558,771,42646,11804,2894,2110,736,1462,3084
ACTB,191338,43249,208410,119840,110872,135883,86802,140593,167931,80674,209650,231019,75697,165181,80940.25,220864,148990,149885,189099,107309,90985,132904
ACTBL2,0,0,0,4,18,0,1,2,10,4,29,69,59,0,0,4,3,0,10,7,2,0
ACTC1,43,2,3,9,28,0,1,29,20,19,1,32,672,4735,0,2044,8,2,3,0,20,2
ACTG1,149334,82175,138220,201045,124771,61198,69142,81565,98924,54847,93747,242121,38528,162623,94059,132604,83373,154015,189325,159000,89395,57565
ACTG1P4,11,1,6,0,7,2,11,7,0,1,6,5,7,0,7,3,2,1,20,53,2,6
ACTG2,3102,10,889,8968,372,23,97,438,1242,185,220,787,61,61,15,4599,256,135,153,20,174,123
ACTL10,41,19,69,3,33,135,40,78,281,48,49,147,116,82,91,86,53,184,33,19,92,10
ACTL6A,2769,1222,5685,4282,3540,3274,1071,4336,5887,3176,2854,10812,3479,1243,1612,3192,2749,1447,3715,3457,1521,3594
ACTL6B,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0
ACTL7A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ACTL7B,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
ACTL8,1,0,58,23,3,1,8,0,3,0,0,0,60,1,0,0,1,77,1,1,4,13
ACTL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN1,18940,3427,8903,38248,56066,5900,1350,6003,12248,12553,14757,22361,4372,6520,2071,15526,8467,1831,21511,21172,8260,7779
